A	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
B	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
C	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
D	0.000004	0.156733	0.053790	0.000028	0.000003	0.000045
E	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
F	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
G	0.000004	0.000029	0.000005	0.000057	0.000018	0.000004
H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
J	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
K	0.000014	0.000112	0.000004	0.000005	0.055489	0.000193
L	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
M	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
N	0.000001	0.000001	0.000615	0.000001	0.000001	0.000001
O	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000489	0.000004	0.000004	0.000004	0.000004	0.000004
Q	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
R	0.999436	0.000072	0.157259	0.032470	0.928809	0.999611
S	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
T	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006
U	0.000006	0.000589	0.788275	0.966084	0.009319	0.000099
V	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
W	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
X	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
Y	0.000009	0.842312	0.000010	0.000082	0.000015	0.000005
Z	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
a	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
b	0.000002	0.000112	0.000003	0.001234	0.006306	0.000002
