A	0.017540	0.083144	0.013544	0.063718
B	0.000000	0.000000	0.000000	0.003224
C	0.000009	0.000009	0.000009	0.000009
D	0.000002	0.000002	0.000002	0.000002
E	0.000002	0.000002	0.000002	0.022380
F	0.211356	0.201328	0.157369	0.125095
G	0.000007	0.000007	0.000007	0.000007
H	0.035480	0.020684	0.101096	0.021681
I	0.000000	0.000000	0.000000	0.000529
J	0.000010	0.000010	0.000010	0.000010
K	0.000004	0.000004	0.000004	0.000004
L	0.000001	0.000001	0.000001	0.017334
M	0.159162	0.056553	0.107245	0.105930
N	0.000007	0.000007	0.000007	0.000007
O	0.018303	0.025909	0.046943	0.062674
P	0.000000	0.000000	0.000000	0.000000
Q	0.000004	0.000004	0.000004	0.000004
R	0.000004	0.000004	0.000004	0.000004
S	0.000001	0.000001	0.001318	0.007100
T	0.121495	0.132719	0.000005	0.229787
U	0.004881	0.000003	0.000003	0.000004
V	0.236259	0.217067	0.203281	0.177684
W	0.000000	0.000000	0.000000	0.000000
X	0.006819	0.000006	0.000006	0.000006
Y	0.000003	0.000003	0.000003	0.000003
Z	0.000001	0.000001	0.000001	0.070249
a	0.178516	0.262530	0.369134	0.071180
b	0.010134	0.000004	0.000004	0.021377
