A	0.000001	0.000001	0.000025	0.000001	0.000001
B	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.000003	0.000003	0.000003	0.000003	0.000003
D	0.922839	0.000003	0.000003	0.000003	0.000288
E	0.000001	0.000001	0.000001	0.000001	0.000001
F	0.000002	0.000002	0.000002	0.000002	0.000002
G	0.000004	0.000004	0.506187	0.000007	0.000004
H	0.000000	0.000000	0.000000	0.000000	0.000000
I	0.000001	0.000001	0.000001	0.000001	0.000001
J	0.000002	0.000002	0.000002	0.000002	0.000002
K	0.000006	0.000005	0.493606	0.000228	0.000010
L	0.000001	0.000001	0.000001	0.000001	0.000001
M	0.000004	0.000004	0.000004	0.000004	0.000004
N	0.000002	0.000002	0.000051	0.000287	0.000002
O	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.000002	0.000002	0.000002	0.000002	0.000002
Q	0.000004	0.000004	0.000004	0.000004	0.002110
R	0.036111	0.999921	0.000007	0.995891	0.997228
S	0.000001	0.000001	0.000001	0.000001	0.000001
T	0.000006	0.000006	0.000006	0.000006	0.000006
U	0.000051	0.000015	0.000037	0.002652	0.000224
V	0.000000	0.000000	0.000009	0.000000	0.000000
W	0.000001	0.000001	0.000001	0.000001	0.000001
X	0.000003	0.000003	0.000003	0.000003	0.000003
Y	0.040724	0.000006	0.000026	0.000005	0.000093
Z	0.000001	0.000001	0.000001	0.000001	0.000001
a	0.000005	0.000005	0.000005	0.000005	0.000005
b	0.000222	0.000003	0.000009	0.000887	0.000003
