A	0.000001	0.000001	0.000001	0.000001
B	0.000001	0.000001	0.000001	0.000001
C	0.000003	0.000003	0.000003	0.000003
D	0.000002	0.000002	0.201551	0.114207
E	0.000001	0.000001	0.000001	0.000001
F	0.000002	0.076215	0.266082	0.096840
G	0.134264	0.000003	0.056333	0.000003
H	0.000000	0.000000	0.000000	0.001863
I	0.000001	0.000001	0.000001	0.000001
J	0.000002	0.000002	0.000002	0.000002
K	0.000002	0.000002	0.030452	0.061723
L	0.000000	0.000000	0.000000	0.000000
M	0.000002	0.000002	0.206235	0.166079
N	0.773636	0.000002	0.022502	0.004187
O	0.000000	0.000000	0.000000	0.000000
P	0.000000	0.000000	0.000000	0.000000
Q	0.000001	0.000001	0.000001	0.000001
R	0.000002	0.000002	0.014969	0.000002
S	0.000000	0.000000	0.000000	0.000000
T	0.000003	0.000003	0.000003	0.000003
U	0.000001	0.000001	0.009567	0.000001
V	0.000000	0.000000	0.000000	0.000110
W	0.000001	0.000001	0.000001	0.000001
X	0.000002	0.000002	0.000002	0.000002
Y	0.000002	0.000002	0.084211	0.231257
Z	0.000000	0.000000	0.000000	0.000000
a	0.000002	0.000002	0.023292	0.318433
b	0.092068	0.923750	0.084787	0.005278
