A	0.125595	0.332143	0.299871	0.032183	0.161963
B	0.000006	0.000006	0.000006	0.000006	0.000006
C	0.000000	0.000000	0.000000	0.000000	0.000000
D	0.049178	0.021541	0.000006	0.000006	0.038440
E	0.141752	0.054601	0.217097	0.336458	0.388661
F	0.000008	0.000008	0.000008	0.000008	0.000008
G	0.000000	0.000000	0.000000	0.000000	0.000000
H	0.118070	0.000007	0.000007	0.000007	0.000007
I	0.198284	0.361081	0.000005	0.564167	0.180625
J	0.001380	0.000002	0.000002	0.000002	0.019477
K	0.000000	0.000000	0.000000	0.000000	0.001297
L	0.119649	0.020668	0.000001	0.067152	0.079669
M	0.155024	0.140420	0.482989	0.000003	0.081975
N	0.018675	0.000005	0.000005	0.000005	0.000005
O	0.000000	0.000000	0.000000	0.000000	0.000000
P	0.072380	0.069519	0.000005	0.000005	0.047869
