A	0.000008	0.002450	0.000008	0.000008
B	0.000010	0.000010	0.000010	0.000010
C	0.000001	0.000001	0.000001	0.000001
D	0.000009	0.621977	0.114054	0.366618
E	0.000010	0.000010	0.000010	0.000010
F	0.000005	0.000005	0.000005	0.000005
G	0.000001	0.000001	0.000001	0.000001
H	0.000004	0.006170	0.000004	0.000004
I	0.000013	0.011039	0.000013	0.000013
J	0.000004	0.000004	0.000004	0.000004
K	0.000000	0.000000	0.000000	0.000000
L	0.000584	0.150568	0.015063	0.077636
M	0.060050	0.002153	0.000011	0.000011
N	0.000007	0.000007	0.000007	0.000007
O	0.000001	0.000001	0.000001	0.000001
P	0.939293	0.205603	0.870807	0.555669
