A	0.000017	0.000017	0.000017	0.000017
B	0.052439	0.000019	0.000019	0.000019
C	0.000004	0.000004	0.000004	0.000004
D	0.000017	0.000017	0.000017	0.037910
E	0.000028	0.999823	0.000028	0.081775
F	0.193058	0.000013	0.000013	0.000013
G	0.005069	0.000003	0.000003	0.009047
H	0.064354	0.000010	0.098623	0.229402
I	0.073475	0.000028	0.804049	0.234945
J	0.156431	0.000007	0.000007	0.000007
K	0.001846	0.000001	0.000001	0.003837
L	0.041834	0.000005	0.097166	0.103953
M	0.373520	0.000025	0.000025	0.253865
N	0.037893	0.000015	0.000015	0.000015
O	0.000003	0.000003	0.000003	0.000003
P	0.000011	0.000011	0.000011	0.045188
