A	0.000675	0.001729	0.000011	0.042028
B	0.000821	0.000005	0.000005	0.004056
C	0.000323	0.000002	0.000002	0.010368
D	0.000311	0.001089	0.000083	0.019251
E	0.935710	0.000014	0.012115	0.178898
F	0.003794	0.000003	0.000003	0.002801
G	0.000001	0.000001	0.000001	0.003361
H	0.012793	0.001663	0.005038	0.010603
I	0.000021	0.979082	0.000020	0.289202
J	0.001990	0.000005	0.000005	0.024314
K	0.000002	0.000002	0.000002	0.005878
L	0.000624	0.010192	0.000009	0.255280
M	0.036061	0.006070	0.941634	0.114607
N	0.003221	0.000005	0.000005	0.006379
O	0.000323	0.000002	0.000002	0.018078
P	0.003328	0.000135	0.041064	0.014895
