A	0.003916	0.003916	0.003916	0.003916	0.003916
B	0.010136	0.010136	0.010136	0.010136	0.010136
C	0.000008	0.000008	0.000008	0.000008	0.000008
D	0.010645	0.919736	0.919736	0.010645	0.010645
E	0.008249	0.008249	0.008249	0.008249	0.008249
F	0.011936	0.011936	0.011936	0.011936	0.011936
G	0.000011	0.000011	0.000011	0.000011	0.000011
H	0.011654	0.011654	0.011654	0.011654	0.920745
I	0.918727	0.009636	0.009636	0.009636	0.009636
J	0.004126	0.004126	0.004126	0.004126	0.004126
K	0.000003	0.000003	0.000003	0.000003	0.000003
L	0.003384	0.003384	0.003384	0.003384	0.003384
M	0.005446	0.005446	0.005446	0.005446	0.005446
N	0.006112	0.006112	0.006112	0.006112	0.006112
O	0.000005	0.000005	0.000005	0.000005	0.000005
P	0.005643	0.005643	0.005643	0.914734	0.005643
