A	0.002109	0.000003	0.001035	0.020472
B	0.000003	0.000003	0.000003	0.000003
C	0.132765	0.773822	0.149173	0.215298
D	0.000003	0.000003	0.000003	0.000003
E	0.241432	0.038294	0.075817	0.064330
F	0.000002	0.000002	0.000002	0.000002
G	0.443360	0.072864	0.404941	0.267580
H	0.000002	0.000002	0.000002	0.000002
I	0.002121	0.000005	0.000005	0.007508
J	0.000001	0.000001	0.000001	0.000001
K	0.004994	0.041508	0.021091	0.019336
L	0.000001	0.000001	0.000001	0.000391
M	0.020950	0.006474	0.000004	0.032067
N	0.000003	0.000003	0.000003	0.000003
O	0.152251	0.067014	0.347917	0.373002
P	0.000002	0.000002	0.000002	0.000002
