A	0.000002	0.000002	0.000002	0.042207	0.000002	0.000002
B	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
C	0.000001	0.000001	0.002546	0.000001	0.000001	0.000001
D	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
E	0.000005	0.000005	0.000005	0.000005	0.000005	0.168886
F	0.000260	0.000001	0.000001	0.000001	0.000001	0.000001
G	0.000001	0.000001	0.000001	0.067455	0.999964	0.831083
H	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
I	0.000005	0.998166	0.956539	0.135961	0.000005	0.000005
J	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
K	0.000001	0.000001	0.029113	0.395199	0.000001	0.000001
L	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
M	0.997353	0.001807	0.000005	0.000005	0.000005	0.000005
N	0.000520	0.000001	0.000001	0.000001	0.000001	0.000001
O	0.000001	0.000001	0.011774	0.359151	0.000001	0.000001
P	0.001840	0.000003	0.000003	0.000003	0.000003	0.000003
