A	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
B	0.000007	0.000007	0.000017	0.000766	0.000007	0.244026
C	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014
D	0.000012	0.000012	0.000012	0.000012	0.000012	0.000012
E	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005
F	0.000006	0.001835	0.000006	0.000006	0.000006	0.000006
G	0.000017	0.000017	0.000017	0.000017	0.000017	0.000017
H	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
I	0.000004	0.000004	0.000004	0.000004	0.999740	0.754962
J	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
K	0.000020	0.000020	0.000020	0.000020	0.000020	0.000020
L	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
M	0.995737	0.992080	0.000769	0.225339	0.000010	0.000010
N	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
O	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
P	0.000008	0.000008	0.000008	0.769829	0.000008	0.000767
Q	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
R	0.000017	0.000017	0.000017	0.000017	0.000017	0.000017
S	0.000003	0.000003	0.000003	0.000003	0.000003	0.000003
T	0.000369	0.005855	0.000776	0.000017	0.000017	0.000017
U	0.000016	0.000016	0.000016	0.000016	0.000016	0.000016
V	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
W	0.000008	0.000008	0.000360	0.000178	0.000008	0.000008
X	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
Y	0.000022	0.000022	0.000022	0.000022	0.000022	0.000022
Z	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004
a	0.003672	0.000015	0.997871	0.003672	0.000015	0.000015
b	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
